,Region,LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost,Image2010,Image2011,Image2012,Image2013,Image2014,Image2015,Image2016,Image2017,Image2018,Image2019,Image2020,Image2021,Image2022,Image2023,Image2008,Image2024
18,SantaRosa,332000.0,498000.0,False,38.47078953,-122.7496386,400.0,647.0,130.0,591.0,247.0,270.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
19,SantaRosa,110789.0,188748.0,True,38.47096328,-122.7497618,424.0,559.0,109.0,605.0,135.0,315.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
20,SantaRosa,106519.0,324701.0,False,38.4710976,-122.7498849,314.0,435.0,35.0,632.0,121.0,279.0,1.0,0.990344425,1940.0,Post1940,RES1,2.0,True,1275.0,Average,163215.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
21,SantaRosa,287640.0,431460.0,False,38.47123362,-122.7500032,314.0,435.0,35.0,647.0,121.0,279.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
22,SantaRosa,153124.0,275601.0,True,38.47136963,-122.7501215,781.0,1056.0,88.0,669.0,275.0,693.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
23,SantaRosa,67550.0,212335.0,True,38.47200957,-122.7499575,329.0,714.0,44.0,749.0,385.0,285.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
24,SantaRosa,204000.0,423300.0,False,38.47190564,-122.749684,393.0,778.0,92.0,725.0,385.0,301.0,1.0,0.990344425,1960.0,Post1940,RES1,2.0,False,1700.0,Custom,278715.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
25,SantaRosa,109731.0,164293.0,True,38.47208284,-122.7495037,403.0,734.0,89.0,751.0,331.0,314.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
26,SantaRosa,153193.0,263841.0,False,38.47231924,-122.7494145,443.0,759.0,182.0,775.0,316.0,261.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
27,SantaRosa,168187.0,129851.0,False,38.4723017,-122.7496576,223.0,862.0,35.0,773.0,639.0,188.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
28,SantaRosa,247335.0,373065.0,True,38.47225927,-122.7498732,553.0,822.0,147.0,771.0,269.0,406.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
29,SantaRosa,167495.0,243504.0,False,38.47195878,-122.7505277,353.0,633.0,63.0,734.0,280.0,290.0,1.0,0.990344425,1940.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
30,SantaRosa,72400.0,104579.0,False,38.47232079,-122.7489822,-1.0,-1.0,165.0,775.0,401.0,-1.0,1.0,0.990344425,1940.0,Post1940,RES1,2.0,False,1700.0,Custom,278715.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
31,SantaRosa,194467.0,122048.0,True,38.47210854,-122.7489786,236.0,890.0,48.0,753.0,654.0,188.0,1.0,0.990344425,1950.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
32,SantaRosa,72400.0,129521.0,True,38.47166528,-122.7490694,723.0,962.0,35.0,712.0,239.0,688.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
33,SantaRosa,210235.0,448296.0,True,38.47160529,-122.7493307,436.0,702.0,105.0,707.0,266.0,331.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
34,SantaRosa,73579.0,207886.0,True,38.4715114,-122.7495856,485.0,652.0,487.0,702.0,167.0,-1.0,1.0,0.990344425,1950.0,Post1940,RES1,2.0,False,1700.0,Custom,278715.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
35,SantaRosa,156188.0,291087.0,True,38.4713334,-122.749375,385.0,602.0,118.0,659.0,217.0,267.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
36,SantaRosa,68380.0,94925.0,True,38.47132721,-122.7486143,-1.0,-1.0,71.0,655.0,189.0,-1.0,1.0,0.990344425,1960.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
37,SantaRosa,72722.0,223950.0,False,38.47111063,-122.7486232,218.0,414.0,37.0,636.0,196.0,181.0,1.0,0.990344425,1940.0,Post1940,RES1,2.0,True,1275.0,Average,163215.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
38,SantaRosa,76554.0,44022.0,False,38.47111899,-122.7480421,1070.0,1309.0,77.0,637.0,239.0,993.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
39,SantaRosa,118870.0,166427.0,True,38.47132994,-122.7480379,480.0,616.0,7.0,657.0,136.0,473.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
40,SantaRosa,145611.0,396668.0,False,38.47206247,-122.750708,506.0,759.0,41.0,745.0,253.0,465.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
41,SantaRosa,185918.0,309363.0,False,38.47221986,-122.7508002,323.0,500.0,71.0,764.0,177.0,252.0,1.0,0.990344425,1950.0,Post1940,RES1,2.0,False,1700.0,Custom,278715.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
42,SantaRosa,141988.0,301737.0,True,38.47234397,-122.7509368,537.0,755.0,71.0,772.0,218.0,466.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
43,SantaRosa,144680.0,131714.0,True,38.47247144,-122.7510802,284.0,479.0,60.0,785.0,195.0,224.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
44,SantaRosa,206113.0,474061.0,False,38.47260823,-122.7512047,351.0,617.0,50.0,797.0,266.0,301.0,1.0,0.990344425,1940.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
45,SantaRosa,128313.0,306120.0,True,38.47274635,-122.7513253,557.0,881.0,82.0,813.0,324.0,475.0,1.0,0.990344425,1950.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
46,SantaRosa,282399.0,350803.0,True,38.472889,-122.7514498,578.0,941.0,256.0,828.0,363.0,322.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
47,SantaRosa,130017.0,147269.0,True,38.47303166,-122.7515743,350.0,584.0,131.0,832.0,234.0,219.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
48,SantaRosa,108653.0,156944.0,True,38.47316979,-122.7516949,348.0,713.0,35.0,837.0,365.0,313.0,1.0,0.990344425,1950.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
49,SantaRosa,161717.0,384685.0,False,38.47330791,-122.7518154,402.0,682.0,45.0,845.0,280.0,357.0,1.0,0.990344425,1960.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
50,SantaRosa,68063.0,108452.0,False,38.47359322,-122.7520644,275.0,708.0,141.0,861.0,433.0,134.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
51,SantaRosa,144463.0,237978.0,True,38.47389484,-122.7522778,299.0,435.0,61.0,875.0,136.0,238.0,1.0,0.990344425,1960.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
52,SantaRosa,196854.0,295284.0,False,38.47410422,-122.752348,448.0,716.0,54.0,884.0,268.0,394.0,1.0,0.990344425,1950.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
53,SantaRosa,241245.0,365850.0,False,38.47430039,-122.7519093,528.0,913.0,38.0,927.0,385.0,490.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
54,SantaRosa,97250.0,246320.0,True,38.47430115,-122.7516545,254.0,395.0,29.0,942.0,141.0,225.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
55,SantaRosa,112839.0,152782.0,True,38.47430271,-122.7514362,364.0,602.0,44.0,965.0,238.0,320.0,1.0,0.990344425,1950.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
56,SantaRosa,121635.0,249390.0,False,38.47430427,-122.7512179,474.0,771.0,56.0,968.0,297.0,418.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
57,SantaRosa,102614.0,247490.0,False,38.47430585,-122.7509996,444.0,881.0,68.0,978.0,437.0,376.0,1.0,0.990344425,1950.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
58,SantaRosa,123964.0,155879.0,False,38.4743074,-122.7507813,-1.0,-1.0,47.0,985.0,283.0,-1.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
59,SantaRosa,206113.0,401920.0,False,38.47430882,-122.7505587,-1.0,-1.0,108.0,991.0,192.0,-1.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
60,SantaRosa,105317.0,152452.0,True,38.47430873,-122.7503319,941.0,1158.0,485.0,996.0,217.0,456.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
61,SantaRosa,110789.0,158064.0,True,38.47430671,-122.7501051,395.0,503.0,150.0,999.0,108.0,245.0,1.0,0.990344425,1950.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
62,SantaRosa,163647.0,334540.0,True,38.47430449,-122.7498779,228.0,416.0,24.0,999.0,188.0,204.0,1.0,0.990344425,1960.0,Post1940,RES1,2.0,False,1700.0,Custom,278715.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
63,SantaRosa,69421.0,264531.0,False,38.47434136,-122.7495943,1143.0,1339.0,74.0,1002.0,196.0,1069.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
64,SantaRosa,121347.0,199368.0,True,38.4741523,-122.7495903,527.0,850.0,113.0,980.0,323.0,414.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
65,SantaRosa,68897.0,183748.0,False,38.47396252,-122.7495892,432.0,649.0,163.0,965.0,217.0,269.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
66,SantaRosa,118704.0,202506.0,True,38.47400946,-122.7500767,366.0,479.0,64.0,967.0,113.0,302.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
67,SantaRosa,102614.0,170119.0,True,38.47400709,-122.7502862,331.0,631.0,57.0,966.0,300.0,274.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
68,SantaRosa,204000.0,341700.0,False,38.47400235,-122.7507054,844.0,1232.0,238.0,956.0,388.0,606.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
69,SantaRosa,66224.0,143500.0,True,38.47399999,-122.7509149,406.0,619.0,62.0,951.0,213.0,344.0,1.0,0.990344425,1940.0,Post1940,RES1,3.0,True,1275.0,Average,168430.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
70,SantaRosa,204000.0,499800.0,True,38.47400779,-122.751155,365.0,716.0,98.0,941.0,351.0,267.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
71,SantaRosa,249896.0,397560.0,True,38.47399447,-122.7514258,574.0,1051.0,72.0,935.0,477.0,502.0,1.0,0.990344425,1950.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
72,SantaRosa,97250.0,232525.0,True,38.47404754,-122.7518101,210.0,388.0,53.0,906.0,178.0,157.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
73,SantaRosa,312227.0,468283.0,False,38.47385955,-122.7516371,387.0,743.0,134.0,908.0,356.0,253.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
74,SantaRosa,108616.0,314288.0,False,38.4735338,-122.7513779,485.0,652.0,59.0,893.0,167.0,426.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
75,SantaRosa,136286.0,229933.0,False,38.47360601,-122.7511432,292.0,474.0,42.0,907.0,182.0,250.0,1.0,0.990344425,1940.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
76,SantaRosa,133478.0,223276.0,True,38.47357095,-122.7509075,291.0,474.0,30.0,911.0,183.0,261.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,True,1275.0,Custom,220476.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
77,SantaRosa,206113.0,416801.0,False,38.4735858,-122.75069,324.0,637.0,31.0,917.0,313.0,293.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
78,SantaRosa,178699.0,360698.0,True,38.47358787,-122.750463,308.0,847.0,132.0,924.0,539.0,176.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
79,SantaRosa,234257.0,351386.0,True,38.47358992,-122.7502359,392.0,654.0,395.0,926.0,262.0,-1.0,1.0,0.990344425,1940.0,Post1940,RES1,2.0,False,1700.0,Custom,278715.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
80,SantaRosa,216408.0,324615.0,False,38.47359405,-122.7497819,483.0,622.0,31.0,927.0,139.0,452.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
81,SantaRosa,95699.0,176092.0,True,38.47359542,-122.7495381,428.0,729.0,56.0,927.0,301.0,372.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
82,SantaRosa,185659.0,235169.0,False,38.47331692,-122.7500572,351.0,555.0,97.0,895.0,204.0,254.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
83,SantaRosa,175538.0,298987.0,True,38.47331487,-122.7502843,407.0,626.0,61.0,895.0,219.0,346.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
84,SantaRosa,68327.0,195225.0,True,38.47331264,-122.7505288,457.0,787.0,93.0,892.0,330.0,364.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
85,SantaRosa,164027.0,246047.0,True,38.47330673,-122.7507727,419.0,652.0,49.0,886.0,233.0,370.0,1.0,0.990344425,1950.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
86,SantaRosa,160766.0,542609.0,False,38.47321069,-122.751035,492.0,659.0,64.0,868.0,167.0,428.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
87,SantaRosa,108653.0,276462.0,True,38.47293562,-122.7505064,401.0,626.0,57.0,852.0,225.0,344.0,1.0,0.990344425,1960.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
88,SantaRosa,73579.0,212908.0,True,38.47291727,-122.7502597,490.0,722.0,86.0,852.0,232.0,404.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Custom,271167.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
89,SantaRosa,74412.0,111326.0,True,38.47291833,-122.7500327,840.0,1136.0,178.0,852.0,296.0,662.0,1.0,0.990344425,1960.0,Post1940,RES1,2.0,False,1700.0,Average,208675.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
90,SantaRosa,242182.0,530741.0,True,38.4729194,-122.7498056,355.0,638.0,322.0,852.0,283.0,33.0,1.0,0.990344425,1960.0,Post1940,RES1,1.0,True,1275.0,Custom,220476.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
91,SantaRosa,57411.0,58678.0,True,38.47265503,-122.7498906,939.0,1338.0,217.0,821.0,399.0,722.0,1.0,0.990344425,1960.0,Post1940,RES1,3.0,False,1700.0,Average,217498.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
92,SantaRosa,206113.0,515283.0,False,38.47262785,-122.7501402,398.0,617.0,54.0,812.0,219.0,344.0,1.0,0.990344425,1950.0,Post1940,RES1,1.0,False,1700.0,Average,198322.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
